title,registration_year,registration_date,current_status,objective,commission_answer,initiative_url,signatures_collected_by_country,signatures_countries_threshold_met_count,signatures_collected,funding_total,timeline_collection_closed,timeline_collection_start,legislation
Ban Glyphosate and Protect People and the Environment,2016,01/01/2016,Commission Engaged,"Ban glyphosate herbicides, reform pesticide approval procedures, and set mandatory EU-wide reduction targets for pesticide use to protect people and the environment.",The Commission acknowledged the wide public concern and committed to not renewing authorisation of glyphosate without full scientific reassessment. It proposed reforms to the transparency of scientific studies and pledged to develop a post-2020 sustainability strategy for pesticides.,https://citizens-initiative.europa.eu/initiatives/ban-glyphosate_en,"{""Austria"": {""statements_of_support"": ""11,438"", ""threshold"": ""14,250"", ""percentage"": ""80.27%""}, ""Belgium"": {""statements_of_support"": ""77,843"", ""threshold"": ""16,500"", ""percentage"": ""471.78%""}, ""Bulgaria"": {""statements_of_support"": ""30,252"", ""threshold"": ""13,500"", ""percentage"": ""224.09%""}, ""Cyprus"": {""statements_of_support"": ""80"", ""threshold"": ""4,500"", ""percentage"": ""1.78%""}, ""Czechia"": {""statements_of_support"": ""23,877"", ""threshold"": ""16,500"", ""percentage"": ""144.71%""}, ""Denmark"": {""statements_of_support"": ""27,219"", ""threshold"": ""9,750"", ""percentage"": ""279.17%""}, ""Finland"": {""statements_of_support"": ""5,261"", ""threshold"": ""9,750"", ""percentage"": ""53.96%""}, ""France"": {""statements_of_support"": ""164,986"", ""threshold"": ""55,500"", ""percentage"": ""297.27%""}, ""Germany"": {""statements_of_support"": ""146,042"", ""threshold"": ""74,250"", ""percentage"": ""196.69%""}, ""Greece"": {""statements_of_support"": ""33,480"", ""threshold"": ""16,500"", ""percentage"": ""202.91%""}, ""Hungary"": {""statements_of_support"": ""39,431"", ""threshold"": ""16,500"", ""percentage"": ""238.98%""}, ""Ireland"": {""statements_of_support"": ""1"", ""threshold"": ""9,000"", ""percentage"": ""0.01%""}, ""Italy"": {""statements_of_support"": ""135,065"", ""threshold"": ""54,750"", ""percentage"": ""246.69%""}, ""Netherlands"": {""statements_of_support"": ""3,539*"", ""threshold"": ""19,500"", ""percentage"": ""18.15%""}, ""Poland"": {""statements_of_support"": ""74,331"", ""threshold"": ""38,250"", ""percentage"": ""194.33%""}, ""Portugal"": {""statements_of_support"": ""4,278"", ""threshold"": ""16,500"", ""percentage"": ""25.93%""}, ""Romania"": {""statements_of_support"": ""23,093"", ""threshold"": ""24,750"", ""percentage"": ""93.31%""}, ""Slovakia"": {""statements_of_support"": ""10,383"", ""threshold"": ""9,750"", ""percentage"": ""106.49%""}, ""Slovenia"": {""statements_of_support"": ""396"", ""threshold"": ""6,000"", ""percentage"": ""6.60%""}, ""Spain"": {""statements_of_support"": ""77,304"", ""threshold"": ""40,500"", ""percentage"": ""190.87%""}, ""Sweden"": {""statements_of_support"": ""4,244"", ""threshold"": ""15,000"", ""percentage"": ""28.29%""}, ""United Kingdom"": {""statements_of_support"": ""178,322"", ""threshold"": ""54,750"", ""percentage"": ""325.70%""}}",10.0,1070865.0,0.00,23/10/2017,23/10/2016,
Initiative for More Democracy in Europe,2016,01/01/2016,Collection Unsuccessful,Introduce direct democratic instruments at EU level including citizens' referendums on major EU policy decisions and binding EU-wide consultations on Treaty changes.,,https://citizens-initiative.europa.eu/initiatives/more-democracy_en,"{""Austria"": {""statements_of_support"": ""577*"", ""threshold"": ""14,250"", ""percentage"": ""4.05%""}, ""Belgium"": {""statements_of_support"": ""681"", ""threshold"": ""16,500"", ""percentage"": ""4.13%""}, ""Bulgaria"": {""statements_of_support"": ""1,073"", ""threshold"": ""13,500"", ""percentage"": ""7.95%""}, ""Czechia"": {""statements_of_support"": ""750"", ""threshold"": ""16,500"", ""percentage"": ""4.55%""}, ""Denmark"": {""statements_of_support"": ""5,305"", ""threshold"": ""9,750"", ""percentage"": ""54.41%""}, ""Estonia"": {""statements_of_support"": ""1,836"", ""threshold"": ""4,500"", ""percentage"": ""40.80%""}, ""Finland"": {""statements_of_support"": ""57"", ""threshold"": ""9,750"", ""percentage"": ""0.58%""}, ""France"": {""statements_of_support"": ""6,157"", ""threshold"": ""55,500"", ""percentage"": ""11.09%""}, ""Germany"": {""statements_of_support"": ""42,412"", ""threshold"": ""74,250"", ""percentage"": ""57.12%""}, ""Greece"": {""statements_of_support"": ""199"", ""threshold"": ""16,500"", ""percentage"": ""1.21%""}, ""Hungary"": {""statements_of_support"": ""7,614"", ""threshold"": ""16,500"", ""percentage"": ""46.15%""}, ""Ireland"": {""statements_of_support"": ""142*"", ""threshold"": ""9,000"", ""percentage"": ""1.58%""}, ""Italy"": {""statements_of_support"": ""14,247"", ""threshold"": ""54,750"", ""percentage"": ""26.02%""}, ""Latvia"": {""statements_of_support"": ""434"", ""threshold"": ""6,750"", ""percentage"": ""6.43%""}, ""Netherlands"": {""statements_of_support"": ""11,618"", ""threshold"": ""19,500"", ""percentage"": ""59.58%""}, ""Poland"": {""statements_of_support"": ""5,759"", ""threshold"": ""38,250"", ""percentage"": ""15.06%""}, ""Portugal"": {""statements_of_support"": ""3,763"", ""threshold"": ""16,500"", ""percentage"": ""22.81%""}, ""Romania"": {""statements_of_support"": ""10,561"", ""threshold"": ""24,750"", ""percentage"": ""42.67%""}, ""Slovakia"": {""statements_of_support"": ""4,445"", ""threshold"": ""9,750"", ""percentage"": ""45.59%""}, ""Slovenia"": {""statements_of_support"": ""680"", ""threshold"": ""6,000"", ""percentage"": ""11.33%""}, ""Spain"": {""statements_of_support"": ""23,316"", ""threshold"": ""40,500"", ""percentage"": ""57.57%""}, ""Sweden"": {""statements_of_support"": ""2"", ""threshold"": ""15,000"", ""percentage"": ""0.01%""}, ""United Kingdom"": {""statements_of_support"": ""25,372"", ""threshold"": ""54,750"", ""percentage"": ""46.34%""}}",4.0,167000.0,"335,408.77",,,
Sustainable Food for All,2017,01/01/2017,Collection Unsuccessful,"Shift EU food and farming policy towards sustainable agriculture, reducing pesticide dependency, improving animal welfare standards and ensuring fair income for farmers.",,https://citizens-initiative.europa.eu/initiatives/sustainable-food-all_en,"{""Czechia"": {""statements_of_support"": ""9,171"", ""threshold"": ""16,500"", ""percentage"": ""55.58%""}, ""Germany"": {""statements_of_support"": ""15,904"", ""threshold"": ""74,250"", ""percentage"": ""21.42%""}, ""Italy"": {""statements_of_support"": ""10,226"", ""threshold"": ""54,750"", ""percentage"": ""18.68%""}, ""Spain"": {""statements_of_support"": ""12,157"", ""threshold"": ""40,500"", ""percentage"": ""30.02%""}, ""United Kingdom"": {""statements_of_support"": ""8,542"", ""threshold"": ""54,750"", ""percentage"": ""15.60%""}}",1.0,56000.0,"75,474.68",17/12/2018,17/12/2017,
Access to Social Protection for All Workers,2017,01/01/2017,Collection Unsuccessful,"Extend access to adequate social protection schemes to all workers regardless of employment status, including self-employed, platform, and part-time workers.",,https://citizens-initiative.europa.eu/initiatives/social-protection-workers_en,"{""Germany"": {""statements_of_support"": ""23,269"", ""threshold"": ""74,250"", ""percentage"": ""31.34%""}, ""Italy"": {""statements_of_support"": ""13,942"", ""threshold"": ""54,750"", ""percentage"": ""25.46%""}, ""Spain"": {""statements_of_support"": ""16,498"", ""threshold"": ""40,500"", ""percentage"": ""40.74%""}, ""Sweden"": {""statements_of_support"": ""19,743"", ""threshold"": ""15,000"", ""percentage"": ""131.62%""}, ""United Kingdom"": {""statements_of_support"": ""24,548"", ""threshold"": ""54,750"", ""percentage"": ""44.84%""}}",2.0,98000.0,"162,228.79",02/12/2018,02/12/2017,
Inclusion of People with Disabilities,2018,01/01/2018,Collection Unsuccessful,"Strengthen the rights of people with disabilities in the EU by ensuring equal access to employment, education, healthcare and social protection in all member states.",,https://citizens-initiative.europa.eu/initiatives/inclusion-disabilities_en,"{""France"": {""statements_of_support"": ""30,697"", ""threshold"": ""55,500"", ""percentage"": ""55.31%""}, ""Germany"": {""statements_of_support"": ""31,138"", ""threshold"": ""74,250"", ""percentage"": ""41.94%""}, ""Italy"": {""statements_of_support"": ""18,755"", ""threshold"": ""54,750"", ""percentage"": ""34.26%""}, ""Netherlands"": {""statements_of_support"": ""14,796"", ""threshold"": ""19,500"", ""percentage"": ""75.88%""}, ""United Kingdom"": {""statements_of_support"": ""16,614"", ""threshold"": ""54,750"", ""percentage"": ""30.35%""}}",3.0,112000.0,"47,327.14",05/08/2019,05/08/2018,
Our Common Future — Environment and Climate,2018,01/01/2018,Collection Unsuccessful,Establish legally binding long-term EU climate targets and require all member states to align national energy and climate plans with the Paris Agreement 1.5°C pathway.,,https://citizens-initiative.europa.eu/initiatives/our-common-future_en,"{""Belgium"": {""statements_of_support"": ""6,067"", ""threshold"": ""16,500"", ""percentage"": ""36.77%""}, ""Germany"": {""statements_of_support"": ""14,182"", ""threshold"": ""74,250"", ""percentage"": ""19.10%""}, ""Italy"": {""statements_of_support"": ""9,318"", ""threshold"": ""54,750"", ""percentage"": ""17.02%""}, ""Spain"": {""statements_of_support"": ""7,073"", ""threshold"": ""40,500"", ""percentage"": ""17.46%""}, ""United Kingdom"": {""statements_of_support"": ""8,360"", ""threshold"": ""54,750"", ""percentage"": ""15.27%""}}",1.0,45000.0,"290,184.77",,,
Coherence of EU Agricultural Policy with Green Deal,2019,01/01/2019,Collection Unsuccessful,Align the Common Agricultural Policy with the European Green Deal by making direct payments conditional on environmental and climate performance indicators.,,https://citizens-initiative.europa.eu/initiatives/cag-green-deal_en,"{""Austria"": {""statements_of_support"": ""1"", ""threshold"": ""14,250"", ""percentage"": ""0.01%""}, ""Belgium"": {""statements_of_support"": ""1,812"", ""threshold"": ""16,500"", ""percentage"": ""10.98%""}, ""Bulgaria"": {""statements_of_support"": ""3,528"", ""threshold"": ""13,500"", ""percentage"": ""26.13%""}, ""Cyprus"": {""statements_of_support"": ""1*"", ""threshold"": ""4,500"", ""percentage"": ""0.02%""}, ""Czechia"": {""statements_of_support"": ""615"", ""threshold"": ""16,500"", ""percentage"": ""3.73%""}, ""Denmark"": {""statements_of_support"": ""33"", ""threshold"": ""9,750"", ""percentage"": ""0.34%""}, ""Finland"": {""statements_of_support"": ""10"", ""threshold"": ""9,750"", ""percentage"": ""0.10%""}, ""France"": {""statements_of_support"": ""29,663"", ""threshold"": ""55,500"", ""percentage"": ""53.45%""}, ""Germany"": {""statements_of_support"": ""39,408"", ""threshold"": ""74,250"", ""percentage"": ""53.07%""}, ""Greece"": {""statements_of_support"": ""444"", ""threshold"": ""16,500"", ""percentage"": ""2.69%""}, ""Hungary"": {""statements_of_support"": ""7,499"", ""threshold"": ""16,500"", ""percentage"": ""45.45%""}, ""Ireland"": {""statements_of_support"": ""935"", ""threshold"": ""9,000"", ""percentage"": ""10.39%""}, ""Italy"": {""statements_of_support"": ""16,796"", ""threshold"": ""54,750"", ""percentage"": ""30.68%""}, ""Netherlands"": {""statements_of_support"": ""3,680"", ""threshold"": ""19,500"", ""percentage"": ""18.87%""}, ""Poland"": {""statements_of_support"": ""13,996"", ""threshold"": ""38,250"", ""percentage"": ""36.59%""}, ""Portugal"": {""statements_of_support"": ""2,283"", ""threshold"": ""16,500"", ""percentage"": ""13.84%""}, ""Romania"": {""statements_of_support"": ""6,498"", ""threshold"": ""24,750"", ""percentage"": ""26.25%""}, ""Slovakia"": {""statements_of_support"": ""3*"", ""threshold"": ""9,750"", ""percentage"": ""0.03%""}, ""Slovenia"": {""statements_of_support"": ""198*"", ""threshold"": ""6,000"", ""percentage"": ""3.30%""}, ""Spain"": {""statements_of_support"": ""6,416"", ""threshold"": ""40,500"", ""percentage"": ""15.84%""}, ""Sweden"": {""statements_of_support"": ""697"", ""threshold"": ""15,000"", ""percentage"": ""4.65%""}, ""United Kingdom"": {""statements_of_support"": ""22,484"", ""threshold"": ""54,750"", ""percentage"": ""41.07%""}}",4.0,157000.0,"350,541.53",19/12/2019,01/01/2019,
We Are A Welcoming Europe,2019,01/01/2019,Collection Unsuccessful,"Promote a humane and rights-based EU asylum and migration policy by decriminalising solidarity acts, protecting rescuers at sea and ensuring fair reception conditions.",,https://citizens-initiative.europa.eu/initiatives/welcoming-europe_en,"{""Denmark"": {""statements_of_support"": ""17,911"", ""threshold"": ""9,750"", ""percentage"": ""183.70%""}, ""France"": {""statements_of_support"": ""18,757"", ""threshold"": ""55,500"", ""percentage"": ""33.80%""}, ""Germany"": {""statements_of_support"": ""26,102"", ""threshold"": ""74,250"", ""percentage"": ""35.15%""}, ""Romania"": {""statements_of_support"": ""13,645"", ""threshold"": ""24,750"", ""percentage"": ""55.13%""}, ""United Kingdom"": {""statements_of_support"": ""21,585"", ""threshold"": ""54,750"", ""percentage"": ""39.42%""}}",3.0,98000.0,"467,122.45",30/10/2020,30/10/2019,
Save Cruelty Free Cosmetics,2020,01/01/2020,Commission Engaged,"Establish a global ban on animal testing for cosmetics by 2023 and ensure no cosmetics animal-test data can be used for EU market access, reinforcing the EU's cruelty-free cosmetics model worldwide.",The Commission expressed its commitment to maintaining the EU's world-leading ban on animal testing for cosmetics and pledged to work towards international convergence. It announced plans to develop a roadmap for ending animal testing in cosmetics globally through bilateral and multilateral engagement.,https://citizens-initiative.europa.eu/initiatives/cruelty-free-cosmetics_en,"{""Austria"": {""statements_of_support"": ""3,390"", ""threshold"": ""14,250"", ""percentage"": ""23.79%""}, ""Belgium"": {""statements_of_support"": ""1,219"", ""threshold"": ""16,500"", ""percentage"": ""7.39%""}, ""Bulgaria"": {""statements_of_support"": ""137"", ""threshold"": ""13,500"", ""percentage"": ""1.01%""}, ""Croatia"": {""statements_of_support"": ""13,502"", ""threshold"": ""8,250"", ""percentage"": ""163.66%""}, ""Czechia"": {""statements_of_support"": ""1,298"", ""threshold"": ""16,500"", ""percentage"": ""7.87%""}, ""Denmark"": {""statements_of_support"": ""27,704"", ""threshold"": ""9,750"", ""percentage"": ""284.14%""}, ""Finland"": {""statements_of_support"": ""1,945"", ""threshold"": ""9,750"", ""percentage"": ""19.95%""}, ""France"": {""statements_of_support"": ""141,814"", ""threshold"": ""55,500"", ""percentage"": ""255.52%""}, ""Germany"": {""statements_of_support"": ""116,437"", ""threshold"": ""74,250"", ""percentage"": ""156.82%""}, ""Greece"": {""statements_of_support"": ""8,051"", ""threshold"": ""16,500"", ""percentage"": ""48.79%""}, ""Hungary"": {""statements_of_support"": ""3,450"", ""threshold"": ""16,500"", ""percentage"": ""20.91%""}, ""Ireland"": {""statements_of_support"": ""62,527"", ""threshold"": ""9,000"", ""percentage"": ""694.74%""}, ""Italy"": {""statements_of_support"": ""105,838"", ""threshold"": ""54,750"", ""percentage"": ""193.31%""}, ""Latvia"": {""statements_of_support"": ""233*"", ""threshold"": ""6,750"", ""percentage"": ""3.45%""}, ""Lithuania"": {""statements_of_support"": ""426"", ""threshold"": ""9,000"", ""percentage"": ""4.73%""}, ""Netherlands"": {""statements_of_support"": ""10,016"", ""threshold"": ""19,500"", ""percentage"": ""51.36%""}, ""Poland"": {""statements_of_support"": ""101,823"", ""threshold"": ""38,250"", ""percentage"": ""266.20%""}, ""Portugal"": {""statements_of_support"": ""5,140"", ""threshold"": ""16,500"", ""percentage"": ""31.15%""}, ""Romania"": {""statements_of_support"": ""134,046"", ""threshold"": ""24,750"", ""percentage"": ""541.60%""}, ""Slovakia"": {""statements_of_support"": ""20,411"", ""threshold"": ""9,750"", ""percentage"": ""209.34%""}, ""Slovenia"": {""statements_of_support"": ""27"", ""threshold"": ""6,000"", ""percentage"": ""0.45%""}, ""Spain"": {""statements_of_support"": ""140,087"", ""threshold"": ""40,500"", ""percentage"": ""345.89%""}, ""Sweden"": {""statements_of_support"": ""315"", ""threshold"": ""15,000"", ""percentage"": ""2.10%""}, ""United Kingdom"": {""statements_of_support"": ""109,263"", ""threshold"": ""54,750"", ""percentage"": ""199.57%""}}",10.0,1009099.0,"265,427.46",28/09/2020,01/01/2020,
Good Food Good Farming,2020,01/01/2020,Awaiting Response,"Transform EU food and farming by phasing out factory farming, cutting pesticide use by 80% by 2030 and redirecting agricultural subsidies to support agroecological farming practices.",,https://citizens-initiative.europa.eu/initiatives/good-food-good-farming_en,"{""Austria"": {""statements_of_support"": ""50,157"", ""threshold"": ""14,250"", ""percentage"": ""351.98%""}, ""Belgium"": {""statements_of_support"": ""67,188"", ""threshold"": ""16,500"", ""percentage"": ""407.20%""}, ""Bulgaria"": {""statements_of_support"": ""7,569"", ""threshold"": ""13,500"", ""percentage"": ""56.07%""}, ""Croatia"": {""statements_of_support"": ""3,901"", ""threshold"": ""8,250"", ""percentage"": ""47.28%""}, ""Czechia"": {""statements_of_support"": ""20,934"", ""threshold"": ""16,500"", ""percentage"": ""126.87%""}, ""Denmark"": {""statements_of_support"": ""533"", ""threshold"": ""9,750"", ""percentage"": ""5.47%""}, ""Finland"": {""statements_of_support"": ""80,692"", ""threshold"": ""9,750"", ""percentage"": ""827.61%""}, ""France"": {""statements_of_support"": ""117,591"", ""threshold"": ""55,500"", ""percentage"": ""211.88%""}, ""Germany"": {""statements_of_support"": ""151,253"", ""threshold"": ""74,250"", ""percentage"": ""203.71%""}, ""Greece"": {""statements_of_support"": ""10"", ""threshold"": ""16,500"", ""percentage"": ""0.06%""}, ""Hungary"": {""statements_of_support"": ""30,492"", ""threshold"": ""16,500"", ""percentage"": ""184.80%""}, ""Ireland"": {""statements_of_support"": ""22,519"", ""threshold"": ""9,000"", ""percentage"": ""250.21%""}, ""Italy"": {""statements_of_support"": ""76,384"", ""threshold"": ""54,750"", ""percentage"": ""139.51%""}, ""Latvia"": {""statements_of_support"": ""225"", ""threshold"": ""6,750"", ""percentage"": ""3.33%""}, ""Lithuania"": {""statements_of_support"": ""112*"", ""threshold"": ""9,000"", ""percentage"": ""1.24%""}, ""Luxembourg"": {""statements_of_support"": ""519"", ""threshold"": ""4,500"", ""percentage"": ""11.53%""}, ""Netherlands"": {""statements_of_support"": ""92,713"", ""threshold"": ""19,500"", ""percentage"": ""475.45%""}, ""Poland"": {""statements_of_support"": ""90,377"", ""threshold"": ""38,250"", ""percentage"": ""236.28%""}, ""Portugal"": {""statements_of_support"": ""137"", ""threshold"": ""16,500"", ""percentage"": ""0.83%""}, ""Romania"": {""statements_of_support"": ""45,809"", ""threshold"": ""24,750"", ""percentage"": ""185.09%""}, ""Slovakia"": {""statements_of_support"": ""3,835"", ""threshold"": ""9,750"", ""percentage"": ""39.33%""}, ""Slovenia"": {""statements_of_support"": ""6,647"", ""threshold"": ""6,000"", ""percentage"": ""110.78%""}, ""Spain"": {""statements_of_support"": ""69,905"", ""threshold"": ""40,500"", ""percentage"": ""172.60%""}, ""Sweden"": {""statements_of_support"": ""49,411"", ""threshold"": ""15,000"", ""percentage"": ""329.41%""}, ""United Kingdom"": {""statements_of_support"": ""89,837"", ""threshold"": ""54,750"", ""percentage"": ""164.09%""}}",11.0,1078750.0,"297,270.96",,,
One of Us,2021,01/01/2021,Withdrawn,Prohibit the EU from financing activities which presuppose the destruction of human embryos in particular in the areas of research development aid and public health.,,https://citizens-initiative.europa.eu/initiatives/one-of-us_en,"{""Austria"": {""statements_of_support"": ""48,515"", ""threshold"": ""14,250"", ""percentage"": ""340.46%""}, ""Belgium"": {""statements_of_support"": ""50,073"", ""threshold"": ""16,500"", ""percentage"": ""303.47%""}, ""Bulgaria"": {""statements_of_support"": ""3,703*"", ""threshold"": ""13,500"", ""percentage"": ""27.43%""}, ""Croatia"": {""statements_of_support"": ""376"", ""threshold"": ""8,250"", ""percentage"": ""4.56%""}, ""Cyprus"": {""statements_of_support"": ""43,448"", ""threshold"": ""4,500"", ""percentage"": ""965.51%""}, ""Czechia"": {""statements_of_support"": ""39,945"", ""threshold"": ""16,500"", ""percentage"": ""242.09%""}, ""Denmark"": {""statements_of_support"": ""65,568"", ""threshold"": ""9,750"", ""percentage"": ""672.49%""}, ""Estonia"": {""statements_of_support"": ""990"", ""threshold"": ""4,500"", ""percentage"": ""22.00%""}, ""Finland"": {""statements_of_support"": ""636"", ""threshold"": ""9,750"", ""percentage"": ""6.52%""}, ""France"": {""statements_of_support"": ""155,438"", ""threshold"": ""55,500"", ""percentage"": ""280.07%""}, ""Germany"": {""statements_of_support"": ""348,920"", ""threshold"": ""74,250"", ""percentage"": ""469.93%""}, ""Greece"": {""statements_of_support"": ""8,800"", ""threshold"": ""16,500"", ""percentage"": ""53.33%""}, ""Hungary"": {""statements_of_support"": ""48,868"", ""threshold"": ""16,500"", ""percentage"": ""296.17%""}, ""Ireland"": {""statements_of_support"": ""4,285"", ""threshold"": ""9,000"", ""percentage"": ""47.61%""}, ""Italy"": {""statements_of_support"": ""288,014"", ""threshold"": ""54,750"", ""percentage"": ""526.05%""}, ""Latvia"": {""statements_of_support"": ""11,048"", ""threshold"": ""6,750"", ""percentage"": ""163.67%""}, ""Lithuania"": {""statements_of_support"": ""11,121"", ""threshold"": ""9,000"", ""percentage"": ""123.57%""}, ""Luxembourg"": {""statements_of_support"": ""9*"", ""threshold"": ""4,500"", ""percentage"": ""0.20%""}, ""Netherlands"": {""statements_of_support"": ""31,757"", ""threshold"": ""19,500"", ""percentage"": ""162.86%""}, ""Poland"": {""statements_of_support"": ""132,836"", ""threshold"": ""38,250"", ""percentage"": ""347.28%""}, ""Portugal"": {""statements_of_support"": ""64,244"", ""threshold"": ""16,500"", ""percentage"": ""389.36%""}, ""Romania"": {""statements_of_support"": ""260,747"", ""threshold"": ""24,750"", ""percentage"": ""1053.52%""}, ""Slovakia"": {""statements_of_support"": ""8,190*"", ""threshold"": ""9,750"", ""percentage"": ""84.00%""}, ""Slovenia"": {""statements_of_support"": ""51,442"", ""threshold"": ""6,000"", ""percentage"": ""857.37%""}, ""Spain"": {""statements_of_support"": ""195,686"", ""threshold"": ""40,500"", ""percentage"": ""483.18%""}, ""Sweden"": {""statements_of_support"": ""22,929"", ""threshold"": ""15,000"", ""percentage"": ""152.86%""}}",19.0,1897588.0,"277,551.68",05/06/2022,05/06/2021,
Universal Basic Income EU,2021,01/01/2021,Collection Unsuccessful,Introduce an unconditional basic income for all EU residents financed through a common EU-level fund.,,https://citizens-initiative.europa.eu/initiatives/universal-basic-income-eu_en,"{""France"": {""statements_of_support"": ""46,647"", ""threshold"": ""55,500"", ""percentage"": ""84.05%""}, ""Germany"": {""statements_of_support"": ""27,478"", ""threshold"": ""74,250"", ""percentage"": ""37.01%""}, ""Italy"": {""statements_of_support"": ""15,902"", ""threshold"": ""54,750"", ""percentage"": ""29.04%""}, ""Poland"": {""statements_of_support"": ""8,596"", ""threshold"": ""38,250"", ""percentage"": ""22.47%""}, ""Portugal"": {""statements_of_support"": ""13,422"", ""threshold"": ""16,500"", ""percentage"": ""81.35%""}}",0.0,112045.0,"22,949.88",,,
Stop Finning - Stop the Trade,2022,01/01/2022,Rejected Legislation,"Prohibit the import, export, sale, and offer for sale of loose shark fins and all products containing shark fins other than fins naturally attached to the shark's body in the European Union.",The Commission is conducting an impact assessment to evaluate extending the 'fins naturally attached' policy to imports and exports. A legislative proposal addressing the shark fin trade is expected within the current mandate.,https://citizens-initiative.europa.eu/initiatives/stop-finning-stop-the-trade_en,"{""Austria"": {""statements_of_support"": ""1,717"", ""threshold"": ""14,250"", ""percentage"": ""12.05%""}, ""Belgium"": {""statements_of_support"": ""37,690"", ""threshold"": ""16,500"", ""percentage"": ""228.42%""}, ""Bulgaria"": {""statements_of_support"": ""670"", ""threshold"": ""13,500"", ""percentage"": ""4.96%""}, ""Croatia"": {""statements_of_support"": ""53"", ""threshold"": ""8,250"", ""percentage"": ""0.64%""}, ""Cyprus"": {""statements_of_support"": ""1,269"", ""threshold"": ""4,500"", ""percentage"": ""28.20%""}, ""Czechia"": {""statements_of_support"": ""3,514"", ""threshold"": ""16,500"", ""percentage"": ""21.30%""}, ""Denmark"": {""statements_of_support"": ""2,466"", ""threshold"": ""9,750"", ""percentage"": ""25.29%""}, ""Estonia"": {""statements_of_support"": ""2,274"", ""threshold"": ""4,500"", ""percentage"": ""50.53%""}, ""Finland"": {""statements_of_support"": ""11,290"", ""threshold"": ""9,750"", ""percentage"": ""115.79%""}, ""France"": {""statements_of_support"": ""110,923"", ""threshold"": ""55,500"", ""percentage"": ""199.86%""}, ""Germany"": {""statements_of_support"": ""168,205"", ""threshold"": ""74,250"", ""percentage"": ""226.54%""}, ""Greece"": {""statements_of_support"": ""26,478"", ""threshold"": ""16,500"", ""percentage"": ""160.47%""}, ""Hungary"": {""statements_of_support"": ""49,459"", ""threshold"": ""16,500"", ""percentage"": ""299.75%""}, ""Ireland"": {""statements_of_support"": ""1,632"", ""threshold"": ""9,000"", ""percentage"": ""18.13%""}, ""Italy"": {""statements_of_support"": ""191,792"", ""threshold"": ""54,750"", ""percentage"": ""350.31%""}, ""Lithuania"": {""statements_of_support"": ""86"", ""threshold"": ""9,000"", ""percentage"": ""0.96%""}, ""Luxembourg"": {""statements_of_support"": ""543"", ""threshold"": ""4,500"", ""percentage"": ""12.07%""}, ""Netherlands"": {""statements_of_support"": ""13,681"", ""threshold"": ""19,500"", ""percentage"": ""70.16%""}, ""Poland"": {""statements_of_support"": ""159,548"", ""threshold"": ""38,250"", ""percentage"": ""417.12%""}, ""Portugal"": {""statements_of_support"": ""1,891"", ""threshold"": ""16,500"", ""percentage"": ""11.46%""}, ""Romania"": {""statements_of_support"": ""61,652"", ""threshold"": ""24,750"", ""percentage"": ""249.10%""}, ""Slovakia"": {""statements_of_support"": ""30,759"", ""threshold"": ""9,750"", ""percentage"": ""315.48%""}, ""Slovenia"": {""statements_of_support"": ""775"", ""threshold"": ""6,000"", ""percentage"": ""12.92%""}, ""Spain"": {""statements_of_support"": ""225,032"", ""threshold"": ""40,500"", ""percentage"": ""555.63%""}, ""Sweden"": {""statements_of_support"": ""16,597"", ""threshold"": ""15,000"", ""percentage"": ""110.65%""}}",12.0,1119996.0,"139,616.83",21/12/2023,21/12/2022,
Free Public Transport,2022,01/01/2022,Collection Unsuccessful,Introduce free urban and regional public transport services across all EU member states to reduce car dependency and carbon emissions.,,https://citizens-initiative.europa.eu/initiatives/free-public-transport_en,"{""France"": {""statements_of_support"": ""8,256"", ""threshold"": ""55,500"", ""percentage"": ""14.88%""}, ""Germany"": {""statements_of_support"": ""9,593"", ""threshold"": ""74,250"", ""percentage"": ""12.92%""}, ""Portugal"": {""statements_of_support"": ""15,148"", ""threshold"": ""16,500"", ""percentage"": ""91.81%""}, ""Romania"": {""statements_of_support"": ""5,780"", ""threshold"": ""24,750"", ""percentage"": ""23.35%""}, ""Spain"": {""statements_of_support"": ""5,003"", ""threshold"": ""40,500"", ""percentage"": ""12.35%""}}",0.0,43780.0,"112,506.83",15/11/2023,15/11/2022,
Protect Old Growth Forests,2022,01/01/2022,Collection Unsuccessful,Establish a binding EU moratorium on logging in remaining old-growth and primary forests within EU territory and create a permanent protection status for identified areas.,,https://citizens-initiative.europa.eu/initiatives/protect-old-growth-forests_en,"{""Bulgaria"": {""statements_of_support"": ""5,017"", ""threshold"": ""13,500"", ""percentage"": ""37.16%""}, ""Germany"": {""statements_of_support"": ""20,181"", ""threshold"": ""74,250"", ""percentage"": ""27.18%""}, ""Italy"": {""statements_of_support"": ""19,060"", ""threshold"": ""54,750"", ""percentage"": ""34.81%""}, ""Poland"": {""statements_of_support"": ""5,930"", ""threshold"": ""38,250"", ""percentage"": ""15.50%""}, ""Spain"": {""statements_of_support"": ""11,242"", ""threshold"": ""40,500"", ""percentage"": ""27.76%""}}",0.0,61430.0,"134,149.36",27/10/2022,01/01/2022,
