title,primary_policy_area,registration_year,signatures_collected,current_status,objective,commission_answer_text,url,signatures_threshold_met,signatures_collected_by_country
Ban Glyphosate and Protect People and the Environment,Environment,2016,1070865,Commission Engaged,"Ban glyphosate herbicides, reform pesticide approval procedures, and set mandatory EU-wide reduction targets for pesticide use to protect people and the environment.",The Commission acknowledged the wide public concern and committed to not renewing authorisation of glyphosate without full scientific reassessment. It proposed reforms to the transparency of scientific studies and pledged to develop a post-2020 sustainability strategy for pesticides.,https://citizens-initiative.europa.eu/initiatives/ban-glyphosate_en,10,"{""DE"": 46920, ""FR"": 165714, ""IT"": 81629, ""ES"": 145551, ""PL"": 25555, ""NL"": 11528, ""BE"": 6300, ""GR"": 4, ""CZ"": 6195, ""PT"": 5145, ""SE"": 52604, ""HU"": 16615, ""AT"": 41979, ""DK"": 8, ""SK"": 278, ""FI"": 463663, ""IE"": 1177}"
Initiative for More Democracy in Europe,Governance,2016,167000,Collection Unsuccessful,Introduce direct democratic instruments at EU level including citizens' referendums on major EU policy decisions and binding EU-wide consultations on Treaty changes.,The collection period ended without reaching the required 1 million signatures. The initiative was formally closed by the Secretariat-General.,https://citizens-initiative.europa.eu/initiatives/more-democracy_en,4,"{""DE"": 1436, ""FR"": 2344, ""IT"": 40168, ""ES"": 66863, ""PL"": 15744, ""NL"": 678, ""BE"": 2090, ""GR"": 11876, ""CZ"": 11947, ""PT"": 432, ""SE"": 1, ""BG"": 2599, ""SK"": 6, ""FI"": 10816}"
Sustainable Food for All,Environment,2017,56000,Collection Unsuccessful,"Shift EU food and farming policy towards sustainable agriculture, reducing pesticide dependency, improving animal welfare standards and ensuring fair income for farmers.",The collection period ended without reaching the required 1 million signatures. The initiative was formally closed by the Secretariat-General.,https://citizens-initiative.europa.eu/initiatives/sustainable-food-all_en,1,"{""DE"": 24276, ""FR"": 3061, ""PL"": 15887, ""NL"": 9517, ""BE"": 3259}"
Access to Social Protection for All Workers,Employment,2017,98000,Collection Unsuccessful,"Extend access to adequate social protection schemes to all workers regardless of employment status, including self-employed, platform, and part-time workers.",The collection period ended without reaching the required 1 million signatures. The initiative was formally closed by the Secretariat-General.,https://citizens-initiative.europa.eu/initiatives/social-protection-workers_en,2,"{""DE"": 11020, ""FR"": 28459, ""BE"": 16244, ""CZ"": 14051, ""PT"": 28226}"
Inclusion of People with Disabilities,Human Rights,2018,112000,Collection Unsuccessful,"Strengthen the rights of people with disabilities in the EU by ensuring equal access to employment, education, healthcare and social protection in all member states.",The collection period ended without reaching the required 1 million signatures. The initiative was formally closed by the Secretariat-General.,https://citizens-initiative.europa.eu/initiatives/inclusion-disabilities_en,3,"{""DE"": 6335, ""IT"": 6679, ""ES"": 51048, ""PL"": 43479, ""RO"": 4459}"
Our Common Future — Environment and Climate,Environment,2018,45000,Collection Unsuccessful,Establish legally binding long-term EU climate targets and require all member states to align national energy and climate plans with the Paris Agreement 1.5°C pathway.,The collection period ended without reaching the required 1 million signatures. The initiative was formally closed by the Secretariat-General.,https://citizens-initiative.europa.eu/initiatives/our-common-future_en,1,"{""DE"": 21663, ""IT"": 3119, ""PL"": 12279, ""PT"": 1864, ""HR"": 6075}"
Coherence of EU Agricultural Policy with Green Deal,Environment,2019,157000,Collection Unsuccessful,Align the Common Agricultural Policy with the European Green Deal by making direct payments conditional on environmental and climate performance indicators.,The collection period ended without reaching the required 1 million signatures. The initiative was formally closed by the Secretariat-General.,https://citizens-initiative.europa.eu/initiatives/cag-green-deal_en,4,"{""DE"": 4368, ""FR"": 81096, ""IT"": 5884, ""ES"": 978, ""PL"": 232, ""RO"": 1035, ""NL"": 144, ""BE"": 20109, ""GR"": 3, ""SE"": 33147, ""HU"": 125, ""AT"": 263, ""HR"": 9606, ""CY"": 10}"
We Are A Welcoming Europe,Human Rights,2019,98000,Collection Unsuccessful,"Promote a humane and rights-based EU asylum and migration policy by decriminalising solidarity acts, protecting rescuers at sea and ensuring fair reception conditions.",The collection period ended without reaching the required 1 million signatures. The initiative was formally closed by the Secretariat-General.,https://citizens-initiative.europa.eu/initiatives/welcoming-europe_en,3,"{""DE"": 32478, ""IT"": 12473, ""BE"": 25985, ""BG"": 9310, ""SK"": 17754}"
Save Cruelty Free Cosmetics,Animal Welfare,2020,1009099,Commission Engaged,"Establish a global ban on animal testing for cosmetics by 2023 and ensure no cosmetics animal-test data can be used for EU market access, reinforcing the EU's cruelty-free cosmetics model worldwide.",The Commission expressed its commitment to maintaining the EU's world-leading ban on animal testing for cosmetics and pledged to work towards international convergence. It announced plans to develop a roadmap for ending animal testing in cosmetics globally through bilateral and multilateral engagement.,https://citizens-initiative.europa.eu/initiatives/cruelty-free-cosmetics_en,10,"{""DE"": 9319, ""FR"": 126581, ""IT"": 24752, ""ES"": 12287, ""PL"": 262583, ""RO"": 8325, ""NL"": 284913, ""BE"": 1, ""GR"": 3, ""CZ"": 30, ""SE"": 48308, ""HU"": 57, ""AT"": 45559, ""BG"": 26, ""DK"": 81, ""FI"": 40640, ""IE"": 145368, ""HR"": 266}"
Good Food Good Farming,Environment,2020,1078750,Waiting for Response,"Transform EU food and farming by phasing out factory farming, cutting pesticide use by 80% by 2030 and redirecting agricultural subsidies to support agroecological farming practices.",The initiative successfully collected over 1 million signatures and met country thresholds. The Commission is currently reviewing the request and preparing its formal response.,https://citizens-initiative.europa.eu/initiatives/good-food-good-farming_en,11,"{""DE"": 728598, ""FR"": 39152, ""IT"": 20966, ""ES"": 15112, ""PL"": 177042, ""RO"": 71, ""NL"": 2421, ""BE"": 23418, ""GR"": 325, ""CZ"": 1379, ""PT"": 13525, ""HU"": 501, ""DK"": 51741, ""FI"": 4498, ""IE"": 1}"
One of Us,Human Rights,2021,1897588,Withdrawn,Prohibit the EU from financing activities which presuppose the destruction of human embryos in particular in the areas of research development aid and public health.,The organizers formally withdrew the initiative before the Commission issued a substantive response. The withdrawal was submitted to the Secretariat-General and the initiative was closed without a Commission Communication being adopted.,https://citizens-initiative.europa.eu/initiatives/one-of-us_en,19,"{""DE"": 374436, ""FR"": 430602, ""IT"": 488721, ""ES"": 126072, ""PL"": 288540, ""RO"": 72391, ""NL"": 1612, ""BE"": 2642, ""GR"": 37427, ""CZ"": 5756, ""PT"": 279, ""SE"": 1663, ""HU"": 806, ""AT"": 114, ""BG"": 6147, ""DK"": 10146, ""SK"": 10, ""FI"": 1662, ""IE"": 3717, ""HR"": 117, ""LT"": 43244, ""LV"": 875, ""EE"": 608, ""LU"": 1}"
Universal Basic Income EU,Employment,2021,112045,Collection Unsuccessful,Introduce an unconditional basic income for all EU residents financed through a common EU-level fund.,The collection period ended without reaching the required 1 million signatures. The initiative was formally closed by the Secretariat-General.,https://citizens-initiative.europa.eu/initiatives/universal-basic-income-eu_en,0,"{""DE"": 12460, ""IT"": 30261, ""ES"": 49248, ""PL"": 12030, ""CZ"": 8046}"
Stop Finning - Stop the Trade,Environment,2022,1119996,Rejected Legislation,"Prohibit the import, export, sale, and offer for sale of loose shark fins and all products containing shark fins other than fins naturally attached to the shark's body in the European Union.",The Commission is conducting an impact assessment to evaluate extending the 'fins naturally attached' policy to imports and exports. A legislative proposal addressing the shark fin trade is expected within the current mandate.,https://citizens-initiative.europa.eu/initiatives/stop-finning-stop-the-trade_en,12,"{""DE"": 122746, ""FR"": 88442, ""IT"": 58298, ""ES"": 15250, ""PL"": 64543, ""RO"": 322325, ""NL"": 30781, ""BE"": 62582, ""GR"": 118, ""CZ"": 37077, ""PT"": 291168, ""AT"": 7135, ""DK"": 19203, ""SK"": 6, ""LT"": 3, ""CY"": 319}"
Free Public Transport,Transport,2022,43780,Collection Unsuccessful,Introduce free urban and regional public transport services across all EU member states to reduce car dependency and carbon emissions.,The collection period ended without reaching the required 1 million signatures. The initiative was formally closed by the Secretariat-General.,https://citizens-initiative.europa.eu/initiatives/free-public-transport_en,0,"{""DE"": 5580, ""FR"": 10375, ""BE"": 7752, ""CZ"": 6762, ""PT"": 13311}"
Protect Old Growth Forests,Environment,2022,61430,Collection Unsuccessful,Establish a binding EU moratorium on logging in remaining old-growth and primary forests within EU territory and create a permanent protection status for identified areas.,The collection period ended without reaching the required 1 million signatures. The initiative was formally closed by the Secretariat-General.,https://citizens-initiative.europa.eu/initiatives/protect-old-growth-forests_en,0,"{""FR"": 8822, ""PL"": 18210, ""NL"": 19773, ""SE"": 4517, ""IE"": 10108}"
Ban Microplastics,Environment,2022,87432,Collection Unsuccessful,"Require EU-wide phase-out of intentionally added microplastics in cosmetics, detergents and agricultural products by 2028.",The collection period ended without reaching the required 1 million signatures. The initiative was formally closed by the Secretariat-General.,https://citizens-initiative.europa.eu/initiatives/ban-microplastics_en,0,"{""DE"": 14259, ""FR"": 26615, ""IT"": 34155, ""PL"": 7367, ""PT"": 5036}"
Ban Factory Farming,Animal Welfare,2023,68900,Collection Unsuccessful,"Prohibit intensive factory farming practices across all EU member states and phase out battery cages, gestation crates and overcrowded housing systems by 2030.",The collection period ended without reaching the required 1 million signatures. The initiative was formally closed by the Secretariat-General.,https://citizens-initiative.europa.eu/initiatives/ban-factory-farming_en,0,"{""DE"": 31437, ""FR"": 3556, ""PL"": 18833, ""NL"": 11283, ""BE"": 3791}"
End the Cage Age,Animal Welfare,2023,1397113,Commission Engaged,"Propose legislation to phase out and ultimately prohibit the use of cages for farmed animals including laying hens, rabbits, pullets, broiler breeders, layer breeders, quail, ducks and geese.","The Commission commits to propose legislation to phase out and ban the use of cages for all animals listed in the initiative by 2027, in line with the Farm to Fork Strategy objectives and following a thorough impact assessment.",https://citizens-initiative.europa.eu/initiatives/end-cage-age_en,14,"{""DE"": 136776, ""FR"": 318551, ""IT"": 67655, ""ES"": 393225, ""PL"": 201327, ""RO"": 109757, ""NL"": 83104, ""GR"": 15, ""PT"": 132, ""SE"": 10320, ""HU"": 30142, ""BG"": 18582, ""FI"": 14, ""SI"": 27512, ""EE"": 1}"
Ban Glyphosate Renewal,Environment,2023,78550,Collection Unsuccessful,Prevent the renewal of the EU authorisation for the herbicide glyphosate and phase out its use in all EU member states by 2025.,The collection period ended without reaching the required 1 million signatures. The initiative was formally closed by the Secretariat-General.,https://citizens-initiative.europa.eu/initiatives/ban-glyphosate-renewal_en,0,"{""DE"": 37814, ""IT"": 5446, ""PL"": 21433, ""PT"": 3255, ""HR"": 10602}"
Digital Rights Charter,Digital Affairs,2023,54210,Collection Unsuccessful,"Enshrine digital rights including the right to encryption, offline alternatives and algorithmic transparency into a binding EU charter.",The collection period ended without reaching the required 1 million signatures. The initiative was formally closed by the Secretariat-General.,https://citizens-initiative.europa.eu/initiatives/digital-rights-charter_en,0,"{""FR"": 11092, ""IT"": 4721, ""ES"": 8545, ""SE"": 2112, ""FI"": 27740}"
Right to Water,Human Rights,2024,1659543,Law Passed,"Recognise access to safe drinking water and sanitation as a human right, exclude water services from internal market rules and liberalisation, and strengthen EU efforts to achieve universal access to water and sanitation.","Following the European Citizens' Initiative 'Right2Water', the Commission carried out a public consultation and adopted a Communication reaffirming the commitment that water is a public good and a human right. The revised Drinking Water Directive adopted in 2020 strengthens the universal access obligation.",https://citizens-initiative.europa.eu/initiatives/right-to-water_en,18,"{""DE"": 985135, ""FR"": 28312, ""IT"": 23089, ""ES"": 146049, ""PL"": 196958, ""RO"": 4099, ""NL"": 130, ""BE"": 42, ""GR"": 9756, ""CZ"": 5953, ""PT"": 59686, ""SE"": 12547, ""BG"": 143, ""DK"": 4383, ""SK"": 66048, ""SI"": 77, ""LV"": 25690, ""CY"": 88314, ""LU"": 3132}"
Fur Free Europe,Animal Welfare,2024,1502319,Law Passed,Ban the farming of animals for their fur across all EU member states and prohibit the import and export of fur and fur products into and from the EU.,The Commission acknowledges the citizens' concerns regarding animal welfare in fur farming. It will assess the feasibility of an EU-wide ban in the context of the upcoming revision of the Animal Welfare legislation and the Farm to Fork Strategy.,https://citizens-initiative.europa.eu/initiatives/fur-free-europe_en,16,"{""DE"": 362790, ""FR"": 304588, ""IT"": 19544, ""ES"": 218344, ""PL"": 5903, ""RO"": 7481, ""NL"": 52382, ""BE"": 2099, ""GR"": 4775, ""CZ"": 60118, ""PT"": 34503, ""SE"": 381423, ""HU"": 37946, ""AT"": 2796, ""DK"": 7351, ""FI"": 20, ""SI"": 6, ""LV"": 250}"
EU Housing Guarantee,Social Policy,2024,95310,Collection Unsuccessful,Establish a legally binding EU-level right to affordable housing and require member states to cap rent increases and expand social housing stock.,The collection period ended without reaching the required 1 million signatures. The initiative was formally closed by the Secretariat-General.,https://citizens-initiative.europa.eu/initiatives/eu-housing-guarantee_en,0,"{""DE"": 23833, ""IT"": 4258, ""ES"": 31262, ""PL"": 33066, ""RO"": 2891}"
Mandatory Climate Education,Education,2024,31200,Collection Unsuccessful,Require all EU member states to include mandatory climate change and sustainability education in national school curricula from primary level onwards.,The collection period ended without reaching the required 1 million signatures. The initiative was formally closed by the Secretariat-General.,https://citizens-initiative.europa.eu/initiatives/mandatory-climate-education_en,0,"{""DE"": 5328, ""FR"": 15265, ""BE"": 3885, ""SE"": 4766, ""HR"": 1956}"
Fair Digital Platform Work,Employment,2025,263900,Collection Ongoing,"Guarantee minimum standards for platform workers, including transparent algorithmic management, fair pay, and effective collective bargaining rights.",The Commission has registered the initiative and notes the adopted and pending measures on platform work and social rights. It will evaluate whether additional EU action is needed.,https://citizens-initiative.europa.eu/initiatives/fair-digital-platform-work_en,4,"{""DE"": 38103, ""FR"": 20367, ""IT"": 33012, ""ES"": 119088, ""PL"": 4132, ""RO"": 3362, ""NL"": 5605, ""BE"": 4, ""GR"": 6, ""PT"": 8, ""SE"": 259, ""AT"": 729, ""BG"": 23840, ""DK"": 14020, ""FI"": 58, ""HR"": 1191, ""SI"": 2, ""LV"": 55, ""MT"": 59}"
End Dark Patterns Online,Digital Affairs,2025,29870,Collection Unsuccessful,Prohibit deceptive dark pattern design practices in online platforms and require transparent user interfaces that respect informed consent.,The collection period ended without reaching the required 1 million signatures. The initiative was formally closed by the Secretariat-General.,https://citizens-initiative.europa.eu/initiatives/end-dark-patterns-online_en,0,"{""DE"": 9870, ""IT"": 3784, ""BE"": 7956, ""BG"": 2823, ""SK"": 5437}"
Save Bees and Farmers,Environment,2025,1054320,Waiting for Response,Restore biodiversity and transition to nature-friendly farming by reducing synthetic pesticide use by 80% by 2030 and restoring natural ecosystems on at least 10% of agricultural land.,"The Commission confirms its commitment to reduce chemical pesticide use and risk by 50% and more hazardous pesticides by 50% by 2030, as set out in the Farm to Fork and Biodiversity Strategies, and will present a legislative proposal accordingly.",https://citizens-initiative.europa.eu/initiatives/save-bees-and-farmers_en,11,"{""DE"": 295716, ""FR"": 21783, ""IT"": 224850, ""ES"": 82287, ""PL"": 623, ""NL"": 2092, ""CZ"": 1891, ""PT"": 2193, ""SE"": 295253, ""HU"": 23711, ""AT"": 516, ""BG"": 96664, ""DK"": 13, ""IE"": 6728}"
Protect Whistleblowers in EU Funds,Justice,2025,55860,Collection Ongoing,"Improve protection for whistleblowers reporting fraud and corruption involving EU funds, with secure reporting channels and safeguards against retaliation.",The Commission has registered the initiative and points to the Whistleblower Protection Directive and anti-fraud rules. It will consider whether targeted amendments are warranted.,https://citizens-initiative.europa.eu/initiatives/protect-whistleblowers-eu-funds_en,1,"{""DE"": 13578, ""ES"": 15399, ""PT"": 13449, ""SE"": 5801, ""BG"": 7633}"
Ban Facial Recognition in Public,Digital Affairs,2025,415780,Collection Ongoing,"Prohibit real-time facial recognition and biometric mass surveillance in publicly accessible spaces across the EU, with narrow exceptions.",The Commission has registered the initiative and notes the applicable framework under the AI Act and data protection rules. It will assess whether additional EU measures are needed within security and fundamental-rights constraints.,https://citizens-initiative.europa.eu/initiatives/ban-facial-recognition-public_en,6,"{""DE"": 192952, ""FR"": 122585, ""IT"": 19449, ""ES"": 11492, ""PL"": 1491, ""RO"": 2523, ""NL"": 12232, ""BE"": 54, ""GR"": 6471, ""CZ"": 81, ""SE"": 2, ""HU"": 34051, ""IE"": 784, ""HR"": 11349, ""LT"": 264}"
Stop Greenwashing Claims,Consumer Protection,2025,144500,Collection Ongoing,"Prohibit misleading environmental marketing claims by requiring substantiation, standard labels, and strong penalties for repeat offenders.",The Commission has registered the initiative and refers to ongoing work on consumer empowerment and green claims. It will review the initiative in parallel with legislative proposals in this area.,https://citizens-initiative.europa.eu/initiatives/stop-greenwashing-claims_en,3,"{""DE"": 13808, ""FR"": 19797, ""IT"": 18949, ""ES"": 36854, ""BE"": 55092}"
European Rail Night Revival,Transport,2025,121330,Collection Ongoing,"Create an EU framework to expand cross-border night trains, improve ticketing interoperability, and prioritise rail over short-haul flights.",The Commission has registered the initiative and highlights existing rail passenger rights and TEN-T policy. Further steps on cross-border ticketing and capacity allocation will be assessed.,https://citizens-initiative.europa.eu/initiatives/european-rail-night-revival_en,2,"{""FR"": 25459, ""IT"": 63155, ""ES"": 8056, ""HR"": 10383, ""SI"": 14277}"
European Accessible Cities,Human Rights,2026,68320,Collection Ongoing,Ensure barrier-free access in public spaces and transport by setting EU accessibility benchmarks for cities and funding upgrades.,The Commission has registered the initiative and points to the European Accessibility Act and disability strategy. It will assess the requested benchmarks and funding mechanisms.,https://citizens-initiative.europa.eu/initiatives/european-accessible-cities_en,1,"{""DE"": 23057, ""FR"": 17591, ""IT"": 19156, ""BE"": 2459, ""PT"": 6057}"
Ban PFAS Forever Chemicals,Health,2026,188450,Collection Ongoing,"Phase out PFAS in consumer products and industrial uses where safer alternatives exist, with strict derogations and full transparency.",The Commission has registered the initiative and points to ongoing work under REACH restrictions for PFAS. It will consider the initiative's proposals alongside scientific opinions and impact assessments.,https://citizens-initiative.europa.eu/initiatives/ban-pfas-forever-chemicals_en,3,"{""DE"": 60799, ""FR"": 56244, ""IT"": 10218, ""PL"": 7075, ""AT"": 54114}"
EU Right to Repair Plus,Consumer Protection,2026,309120,Collection Ongoing,"Strengthen the right to repair by extending spare-parts availability, mandating repairability scores, and limiting software locks that hinder repair.",The Commission has registered the initiative and refers to the Sustainable Products Initiative and right-to-repair measures. It will assess the requested extensions within the existing legislative framework.,https://citizens-initiative.europa.eu/initiatives/eu-right-to-repair-plus_en,5,"{""DE"": 23071, ""FR"": 54056, ""IT"": 16813, ""ES"": 77217, ""PL"": 19519, ""RO"": 700, ""NL"": 3, ""BE"": 19188, ""GR"": 1, ""PT"": 72, ""HU"": 7, ""BG"": 9, ""FI"": 31194, ""IE"": 1407, ""LT"": 652, ""EE"": 65211}"
Clean Air for Europe,Environment,2026,74210,Collection Ongoing,"Set binding EU-wide air quality targets aligned with WHO guidelines, strengthen enforcement, and expand monitoring in urban areas.",The Commission has registered the initiative and notes that EU air quality legislation is under review. It will assess the requested measures in light of the Zero Pollution Action Plan and the ongoing revision of air quality standards.,https://citizens-initiative.europa.eu/initiatives/clean-air-for-europe_en,1,"{""DE"": 53824, ""FR"": 2559, ""PL"": 12899, ""BE"": 1470, ""DK"": 3458}"
Protect EU Borders,Security,2026,120500,Collection Unsuccessful,Strengthen EU external border controls and establish a permanent EU border protection force with enhanced mandate to prevent illegal crossings and ensure the security of member states' territorial integrity.,The Commission is reviewing the initiative. Border management is a shared competence and Frontex has been significantly reinforced. The Commission will assess whether further legislative or operational measures are warranted in the context of the Pact on Migration and Asylum.,https://citizens-initiative.europa.eu/initiatives/protect-eu-borders_en,2,"{""FR"": 25519, ""IT"": 9208, ""PL"": 51771, ""NL"": 20634, ""CZ"": 13368}"
AI Regulation for Workers,Employment,2026,450000,Collection Ongoing,"Ensure that AI systems used in employment contexts are subject to human oversight, algorithmic transparency, and workers' right to explanation for any automated decision affecting their employment conditions.","The Commission is reviewing the submitted request. Under the AI Act, high-risk AI systems used in employment are subject to transparency and human oversight requirements. Further measures to strengthen workers' rights are under consideration.",https://citizens-initiative.europa.eu/initiatives/ai-regulation-workers_en,5,"{""DE"": 32092, ""FR"": 1680, ""IT"": 83420, ""ES"": 3415, ""PL"": 270116, ""RO"": 3327, ""BE"": 27981, ""CZ"": 1290, ""PT"": 1235, ""SE"": 15, ""HU"": 2110, ""AT"": 30, ""DK"": 4762, ""HR"": 18527}"
Tax the Rich,Taxation,2026,1000100,Collection Ongoing,"Introduce a progressive EU-wide net wealth tax on individuals holding assets above €1 million to fund the green transition, reduce inequality, and finance public services across member states.",The Commission is reviewing the initiative. Tax policy remains primarily a member state competence. The Commission will explore whether EU-level coordination mechanisms on wealth taxation can complement existing anti-avoidance frameworks.,https://citizens-initiative.europa.eu/initiatives/tax-the-rich_en,8,"{""DE"": 83973, ""FR"": 82023, ""IT"": 117783, ""ES"": 6563, ""PL"": 516, ""RO"": 15, ""NL"": 389353, ""BE"": 95620, ""GR"": 11319, ""PT"": 1656, ""SE"": 667, ""HU"": 9132, ""BG"": 4, ""FI"": 1004, ""IE"": 200472}"
Europe for Mental Health,Health,2026,97640,Collection Ongoing,"Adopt an EU mental health action plan with minimum service standards, prevention measures, and dedicated funding for youth support.",The Commission has registered the initiative and notes existing EU initiatives on mental health and youth. It will assess the proposals for added value within EU competences.,https://citizens-initiative.europa.eu/initiatives/europe-for-mental-health_en,2,"{""DE"": 16422, ""FR"": 12899, ""IT"": 2330, ""ES"": 10461, ""PL"": 55528}"
